"event","time","node","dest","n","proportion","select","shift"
"exit",204,2,0,1,0,4,0
"exit",204,10,0,1,0,4,0
"exit",204,13,0,1,0,4,0
"exit",204,17,0,1,0,4,0
"exit",204,41,0,1,0,4,0
"exit",204,47,0,1,0,4,0
"exit",204,48,0,1,0,4,0
"exit",204,70,0,1,0,4,0
"exit",204,73,0,1,0,4,0
"exit",204,74,0,1,0,4,0
"exit",204,74,0,1,0,4,0
"exit",204,74,0,1,0,4,0
"exit",204,87,0,1,0,4,0
"exit",204,98,0,1,0,4,0
"exit",204,104,0,1,0,4,0
"exit",204,109,0,1,0,4,0
"exit",204,125,0,1,0,4,0
"exit",204,139,0,1,0,4,0
"exit",204,146,0,1,0,4,0
"exit",204,158,0,1,0,4,0
"exit",204,161,0,1,0,4,0
"exit",204,186,0,1,0,4,0
"exit",204,195,0,1,0,4,0
"exit",204,198,0,1,0,4,0
"exit",204,217,0,1,0,4,0
"exit",204,262,0,1,0,4,0
"exit",204,300,0,1,0,4,0
"exit",204,304,0,1,0,4,0
"exit",204,311,0,1,0,4,0
"exit",204,327,0,1,0,4,0
"exit",204,328,0,1,0,4,0
"exit",204,339,0,1,0,4,0
"exit",204,342,0,1,0,4,0
"exit",204,346,0,1,0,4,0
"exit",204,356,0,1,0,4,0
"exit",204,372,0,1,0,4,0
"exit",204,384,0,1,0,4,0
"exit",204,387,0,1,0,4,0
"exit",204,406,0,1,0,4,0
"exit",204,426,0,1,0,4,0
"exit",204,434,0,1,0,4,0
"exit",204,484,0,1,0,4,0
"exit",204,492,0,1,0,4,0
"exit",204,504,0,1,0,4,0
"exit",204,516,0,1,0,4,0
"exit",204,522,0,1,0,4,0
"exit",204,531,0,1,0,4,0
"exit",204,597,0,1,0,4,0
"exit",204,627,0,1,0,4,0
"exit",204,652,0,1,0,4,0
"exit",204,671,0,1,0,4,0
"exit",204,684,0,1,0,4,0
"exit",204,687,0,1,0,4,0
"exit",204,692,0,1,0,4,0
"exit",204,724,0,1,0,4,0
"exit",204,755,0,1,0,4,0
"exit",204,758,0,1,0,4,0
"exit",204,766,0,1,0,4,0
"exit",204,770,0,1,0,4,0
"exit",204,780,0,1,0,4,0
"exit",204,791,0,1,0,4,0
"exit",204,793,0,1,0,4,0
"exit",204,809,0,1,0,4,0
"exit",204,813,0,1,0,4,0
"exit",204,826,0,1,0,4,0
"exit",204,828,0,1,0,4,0
"exit",204,831,0,1,0,4,0
"exit",204,832,0,1,0,4,0
"exit",204,848,0,1,0,4,0
"exit",204,853,0,1,0,4,0
"exit",204,866,0,1,0,4,0
"exit",204,868,0,1,0,4,0
"exit",204,883,0,1,0,4,0
"exit",204,892,0,1,0,4,0
"exit",204,920,0,1,0,4,0
"exit",204,934,0,1,0,4,0
"exit",204,937,0,1,0,4,0
"exit",204,962,0,1,0,4,0
"exit",204,970,0,1,0,4,0
"exit",204,981,0,1,0,4,0
"exit",204,993,0,1,0,4,0
"exit",204,994,0,1,0,4,0
"exit",204,995,0,1,0,4,0
"exit",204,1022,0,1,0,4,0
"exit",204,1065,0,1,0,4,0
"exit",204,1082,0,1,0,4,0
"exit",204,1096,0,1,0,4,0
"exit",204,1098,0,1,0,4,0
"exit",204,1102,0,1,0,4,0
"exit",204,1103,0,1,0,4,0
"exit",204,1130,0,1,0,4,0
"exit",204,1143,0,1,0,4,0
"exit",204,1151,0,1,0,4,0
"exit",204,1154,0,1,0,4,0
"exit",204,1159,0,1,0,4,0
"exit",204,1176,0,1,0,4,0
"exit",204,1185,0,1,0,4,0
"exit",204,1193,0,1,0,4,0
"exit",204,1205,0,1,0,4,0
"exit",204,1237,0,1,0,4,0
"exit",204,1242,0,1,0,4,0
"exit",204,1254,0,1,0,4,0
"exit",204,1258,0,1,0,4,0
"exit",204,1259,0,1,0,4,0
"exit",204,1259,0,1,0,4,0
"exit",204,1264,0,1,0,4,0
"exit",204,1272,0,1,0,4,0
"exit",204,1273,0,1,0,4,0
"exit",204,1296,0,1,0,4,0
"exit",204,1328,0,1,0,4,0
"exit",204,1334,0,1,0,4,0
"exit",204,1336,0,1,0,4,0
"exit",204,1348,0,1,0,4,0
"exit",204,1359,0,1,0,4,0
"exit",204,1372,0,1,0,4,0
"exit",204,1380,0,1,0,4,0
"exit",204,1424,0,1,0,4,0
"exit",204,1425,0,1,0,4,0
"exit",204,1449,0,1,0,4,0
"exit",204,1480,0,1,0,4,0
